2.25;2.00;2.23;6.83;6.73;7.81;3.23;3.02;3.02;125.20;124.95;124.34;1795;0
2.25;2.00;2.23;6.83;6.73;7.81;3.22;3.01;3.02;125.09;124.79;124.19;1795;0
2.29;2.21;2.36;6.96;6.89;7.94;3.22;3.02;3.02;125.14;124.86;124.25;1795;0
2.29;2.21;2.36;6.96;6.89;7.94;3.22;3.02;3.02;125.20;124.91;124.28;1795;0
2.09;1.89;2.12;6.77;6.55;7.72;3.22;3.01;3.01;125.17;124.89;124.28;1795;0
2.09;1.89;2.12;6.77;6.55;7.72;3.23;3.02;3.02;125.25;124.98;124.33;1795;0
2.11;1.95;2.15;6.71;6.59;7.73;3.23;3.02;3.02;125.21;124.93;124.31;1795;0
2.28;2.06;2.26;7.02;6.70;7.82;3.22;3.02;3.03;125.25;125.00;124.32;1795;0
2.17;2.03;2.19;6.79;6.70;7.78;3.23;3.02;3.03;125.23;125.00;124.40;1795;0
2.17;2.03;2.19;6.79;6.70;7.78;3.23;3.02;3.03;125.22;124.98;124.38;1795;0
2.18;2.03;2.18;6.75;6.69;7.75;3.22;3.02;3.03;125.23;125.01;124.41;1795;0
2.18;2.03;2.18;6.75;6.69;7.75;3.23;3.02;3.03;125.28;125.02;124.43;1795;0
2.12;1.98;2.16;6.77;6.64;7.74;3.24;3.04;3.04;125.43;125.22;124.62;1795;0
2.12;1.98;2.16;6.77;6.64;7.74;3.24;3.04;3.04;125.47;125.24;124.61;1795;0
2.11;1.99;2.16;6.65;6.66;7.69;3.24;3.02;3.04;125.34;125.08;124.50;1795;0
2.11;1.99;2.16;6.65;6.66;7.69;3.24;3.03;3.04;125.40;125.14;124.55;1795;0
2.24;2.05;2.24;6.80;6.71;7.80;3.24;3.04;3.05;125.38;125.22;124.65;1795;0
2.24;2.05;2.24;6.80;6.71;7.80;3.24;3.04;3.05;125.48;125.25;124.65;1795;0
2.20;2.07;2.23;6.74;6.66;7.76;3.24;3.04;3.03;125.48;125.24;124.59;1795;0
2.20;2.07;2.23;6.74;6.66;7.76;3.25;3.05;3.04;125.56;125.34;124.64;1795;0
2.24;2.07;2.26;6.74;6.59;7.72;3.24;3.04;3.04;125.47;125.25;124.58;1795;0
2.24;2.07;2.26;6.74;6.59;7.72;3.25;3.05;3.04;125.52;125.31;124.63;1795;0
2.24;2.07;2.26;6.74;6.59;7.72;3.25;3.05;3.04;125.54;125.31;124.63;1795;0
2.18;2.02;2.21;6.71;6.60;7.72;3.24;3.05;3.04;125.51;125.28;124.62;1795;0
2.18;2.02;2.21;6.71;6.60;7.72;3.24;3.04;3.04;125.48;125.25;124.63;1795;0
2.26;2.09;2.25;6.84;6.69;7.74;3.24;3.04;3.03;125.48;125.27;124.60;1795;0
2.26;2.09;2.25;6.84;6.69;7.74;3.24;3.04;3.03;125.46;125.21;124.57;1795;0
2.22;2.08;2.28;6.72;6.62;7.77;3.24;3.03;3.03;125.38;125.14;124.46;1795;0
2.22;2.08;2.28;6.72;6.62;7.77;3.24;3.03;3.03;125.36;125.12;124.46;1795;0
2.18;2.01;2.18;6.47;6.13;7.36;3.25;3.06;3.04;124.94;124.76;124.00;1751;5
2.18;2.01;2.18;6.47;6.13;7.36;3.25;3.06;3.04;124.91;124.75;124.00;1751;5
2.16;2.01;2.16;6.47;6.17;7.31;3.25;3.06;3.04;124.97;124.77;124.03;1751;5
2.16;2.01;2.16;6.47;6.17;7.31;3.25;3.05;3.05;124.82;124.78;124.01;1751;5
2.26;2.04;2.22;6.44;6.22;7.32;3.25;3.05;3.05;124.85;124.74;123.99;1751;5
2.26;2.04;2.22;6.44;6.22;7.32;3.25;3.05;3.04;124.85;124.75;123.98;1751;5
2.06;1.91;2.07;6.37;6.08;7.31;3.26;3.06;3.05;124.98;124.86;124.12;1751;5
2.06;1.91;2.07;6.37;6.08;7.31;3.26;3.06;3.05;124.92;124.83;124.10;1751;5
2.06;1.91;2.07;6.37;6.08;7.31;3.26;3.07;3.05;125.05;124.96;124.18;1751;5
2.18;1.99;2.17;6.52;6.10;7.33;3.27;3.08;3.07;125.18;125.11;124.34;1751;5
2.18;1.99;2.17;6.52;6.10;7.33;3.27;3.08;3.07;125.21;125.12;124.35;1751;5
