130.45,130.04,100.87,100.88,112.34,113.85,-316.00,-91.00,397.00,-1957.00,3941.00,-1956.00'
130.45,130.04,100.87,100.88,112.34,113.85,-303.00,-105.00,399.00,-2151.00,3944.00,-1765.00'
130.45,130.04,100.87,100.88,112.34,113.85,-288.00,-120.00,399.00,-2337.00,3945.00,-1582.00'
130.45,130.04,100.87,100.88,112.34,113.85,-273.00,-135.00,400.00,-2516.00,3942.00,-1399.00'
130.45,130.04,100.87,100.88,112.34,113.85,-255.00,-154.00,401.00,-2700.00,3929.00,-1202.00'
130.45,130.04,100.87,100.88,112.34,113.85,-235.00,-175.00,402.00,-2870.00,3913.00,-1019.00'
130.45,130.04,100.87,100.88,112.34,113.85,-214.00,-198.00,404.00,-3027.00,3887.00,-837.00'
130.45,130.04,100.87,100.88,112.34,113.85,-190.00,-223.00,405.00,-3185.00,3847.00,-642.00'
130.45,130.04,100.87,100.88,112.34,113.85,-165.00,-247.00,404.00,-3331.00,3794.00,-446.00'
130.45,130.04,100.87,100.88,112.34,113.85,-139.00,-269.00,401.00,-3456.00,3712.00,-242.00'
130.45,130.04,100.87,100.88,112.34,113.85,-111.00,-293.00,397.00,-3555.00,3615.00,-47.00'
130.45,130.04,100.87,100.88,112.34,113.85,-84.00,-315.00,392.00,-3644.00,3514.00,143.00'
130.45,130.04,100.87,100.88,112.34,113.85,-60.00,-334.00,386.00,-3719.00,3397.00,333.00'
130.45,130.04,100.87,100.88,112.34,113.85,-38.00,-351.00,381.00,-3773.00,3274.00,506.00'
130.45,130.04,100.87,100.88,112.34,113.85,-16.00,-366.00,375.00,-3819.00,3146.00,680.00'
130.45,130.04,100.87,100.88,112.34,113.85,6.00,-382.00,368.00,-3854.00,3006.00,852.00'
130.45,130.04,100.87,100.88,112.34,113.85,25.00,-394.00,362.00,-3875.00,2865.00,1012.00'
130.45,130.04,100.87,100.88,112.34,113.85,40.00,-401.00,354.00,-3893.00,2716.00,1178.00'
130.45,130.04,100.87,100.88,112.34,113.85,52.00,-405.00,346.00,-3910.00,2558.00,1352.00'
130.45,130.04,100.87,100.88,112.34,113.85,61.00,-407.00,339.00,-3919.00,2398.00,1519.00'
130.45,130.04,100.87,100.88,112.34,113.85,74.00,-411.00,330.00,-3924.00,2226.00,1696.00'
130.45,130.04,100.87,100.88,112.34,113.85,88.00,-414.00,319.00,-3938.00,2043.00,1893.00'
130.45,130.04,100.87,100.88,112.34,113.85,101.00,-414.00,306.00,-3947.00,1855.00,2087.00'
130.45,130.04,100.87,100.88,112.34,113.85,114.00,-411.00,290.00,-3948.00,1678.00,2267.00'
130.45,130.04,100.87,100.88,112.34,113.85,126.00,-407.00,274.00,-3949.00,1511.00,2434.00'
130.45,130.04,100.87,100.88,112.34,113.85,140.00,-404.00,257.00,-3943.00,1318.00,2617.00'
130.45,130.04,100.87,100.88,112.34,113.85,158.00,-401.00,236.00,-3934.00,1128.00,2800.00'
130.45,130.04,100.87,100.88,112.34,113.85,176.00,-398.00,214.00,-3915.00,953.00,2953.00'
130.45,130.04,100.87,100.88,112.34,113.85,197.00,-395.00,191.00,-3878.00,756.00,3112.00'
