current
-195
-216
-237
-258
-278
-298
-317
-337
-355
-373
-389
-403
-414
-423
-432
-440
-446
-450
-452
-454
-455
-456
-456
-457
-457
-457
-455
-453
-451
-449
-444
-438
-430
-420
-408
-395
-381
-366
-351
-333
-314
-296
-276
-255
-235
-214
-192
-171
-150
-128
-105
-84
-62
-39
-16
7
29
50
70
89
109
128
147
167
187
207
228
249
269
287
307
327
345
363
379
393
404
415
423
431
437
441
444
446
447
447
448
449
449
448
447
445
444
440
436
430
422
412
400
387
374
359
343
325
307
288
268
247
227
206
184
162
142
121
97
75
53
31
8
-15
-38
-59
-79
-98
-117
-136
-156
-175
-196
-217
-237
-259
-279
-298
-318
-338
-356
-373
-389
-404
-414
-424
-433
-440
-446
-451
-453
-455
-457
-457
-458
-458
-458
-458
-456
-455
-453
-449
-444
-439
-431
-421
-408
-395
-381
-367
-351
-333
-315
-296
-276
-256
-235
-214
-193
-172
-151
-128
-106
-85
-62
-39
-16
6
29
50
70
89
109
128
147
168
188
209
230
250
271
290
309
329
348
364
381
394
405
415
424
431
437
441
444
446
447
448
448
449
449
448
447
446
443
440
435
430
422
412
400
387
373
358
343
325
307
289
269
249
228
207
185
164
144
122
99
76
54
32
8
-15
-38
-59
-79
-98
-118
-137
-157
-176
-197
-217
-238
-260
-280
-299
-319
-339
-358
-375
-391
-405
-415
-425
-433
-440
-446
-450
-453
-455
-456
-456
-457
-458
-458
-457
-455
-454
-452
-449
-444
-438
-431
-421
-408
-396
-382
-367
-352
-334
-316
-297
-277
-257
-236
-215
-193
-172
-152
-129
-107
-85
-63
-40
-17
6
28
49
70
89
108
128
147
167
188
208
229
250
271
289
308
329
348
364
380
394
405
415
424
431
437
442
445
446
447
448
448
449
449
448
447
446
444
440
436
429
421
411
399
386
373
358
342
325
306
287
267
247
226
205
183
162
142
120
97
75
53
31
8
-15
-38
-58
-78
-97
-116
-136
-156
-175
-196
-216
-237
-259
-279
-298
-318
-338
-356
-373
-389
-403
-414
-424
-433
-440
-446
-450
-453
-455
-456
-456
-457
-458
-458
-457
-456
-454
-452
-449
-444
-438
-431
-421
-408
-395
-382
-367
-351
-333
-315
-296
-276
-256
-235
-214
-192
-172
-151
-128
-106
-84
-62
-40
-17
6
28
49
69
89
108
127
146
167
187
207
228
250
270
289
308
329
347
364
381
394
405
415
424
431
437
442
444
446
447
448
448
449
450
449
448
446
444
440
436
430
422
412
400
387
373
358
342
326
307
288
268
248
227
206
184
162
142
120
97
75
52
30
7
-16
-39
-59
-80
-99
-117
-137
-157
-176
-195
-216
-237
-258
-278
-298
-317
-337
-355
-373
-389
-403
-414
-423
-432
-440
-446
-450
-452
-454
-455
-456
-456
-457
-457
-457
-455
-453
-451
-449
-444
-438
-430
-420
-408
-395
-381
-366
-351
-333
-314
-296
-276
-255
-235
-214
-192
-171
-150
-128
-105
-84
-62
-39
-16
7
29
50
70
89
109
128
147
167
187
207
228
249
269
287
307
327
345
363
379
393
404
415
423
431
437
441
444
446
447
447
448
449
449
448
447
445
444
440
436
430
422
412
400
387
374
359
343
325
307
288
268
247
227
206
184
162
142
121
97
75
53
31
8
-15
-38
-59
-79
-98
-117
-136
-156
-175
-196
-217
-237
-259
-279
-298
-318
-338
-356
-373
-389
-404
-414
-424
-433
-440
-446
-451
-453
-455
-457
-457
-458
-458
-458
-458
-456
-455
-453
-449
-444
-439
-431
-421
-408
-395
-381
-367
-351
-333
-315
-296
-276
-256
-235
-214
-193
-172
-151
-128
-106
-85
-62
-39
-16
6
29
50
70
89
109
128
147
168
188
209
230
250
271
290
309
329
348
364
381
394
405
415
424
431
437
441
444
446
447
448
448
449
449
448
447
446
443
440
435
430
422
412
400
387
373
358
343
325
307
289
269
249
228
207
185
164
144
122
99
76
54
32
8
-15
-38
-59
-79
-98
-118
-137
-157
-176
-197
